Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Kevin Lucey,0.316,21-21,76,15,24,4,1,1,10,33,0.434,5,8,20,0,0.407,2,0,9-Aug
Tyler Attal,0.256,23-23,90,16,23,4,0,2,15,33,0.367,7,3,17,0,0.324,2,1,10-Sep
Noah Jankowski,0.231,22-18,65,12,15,6,1,2,12,29,0.446,9,1,23,1,0.329,1,0,1-Jan
Henry Jamieson,0.273,23-23,77,14,21,9,0,1,13,33,0.429,11,3,27,1,0.368,4,0,0-0
Antonio Jareno,0.333,5-Jul,18,3,6,1,0,0,3,7,0.389,2,1,6,0,0.409,1,0,1-Jan
Bryan Gotti,0.238,24-23,84,12,20,9,0,1,10,32,0.381,9,1,19,1,0.319,0,0,0-0
Jack Brennan,0.209,25-22,86,10,18,4,0,2,7,28,0.326,5,0,17,0,0.25,1,3,3-Mar
John Nowak,0.256,16-12,39,8,10,1,0,0,5,11,0.282,2,2,11,0,0.318,1,0,0-0
Dylan Azcarate,0.125,5-Aug,8,1,1,1,0,0,0,2,0.25,1,2,4,0,0.364,0,0,0-0
Drew Fallon,0.303,25-25,76,17,23,3,4,1,17,37,0.487,7,2,22,0,0.368,2,0,5-May
Grant Iuliano,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jared Pantalony,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ian Mcaslan,0,Sep-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Sam Hough,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Christopher Cimino,0.5,16-12,50,12,25,1,0,0,10,26,0.52,4,0,6,0,0.527,1,2,4-Mar
Braden Karess,0,4-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Brennan Kelley,0.188,15-7,32,3,6,1,0,0,2,7,0.219,7,2,10,0,0.366,0,0,0-0
Teddie Nelson,0,7-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
David Miller,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Micah Sheats,0,2-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Brandon Biggane,0.2,1-Jun,10,1,2,0,0,1,2,5,0.5,0,1,5,1,0.273,0,0,0-0
Ben Gesmondi,0.333,20-17,54,9,18,1,0,1,6,22,0.407,10,3,19,0,0.449,2,0,3-Feb
Noah Timmer,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Joe Bianchi,0,2-May,5,2,0,0,0,0,1,0,0,2,1,4,0,0.375,0,0,0-0
Alex Ross,0.167,3-Sep,12,0,2,0,0,0,1,2,0.167,0,1,7,0,0.231,0,0,0-0
Noah Ackerman,0.5,Sep-00,4,4,2,2,0,0,2,4,1,0,0,1,0,0.5,0,0,2-Jan
Matthew Shrake,0,13-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Christopher Mcgrail,0,2-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ben Genser,0.296,5-Nov,27,4,8,0,0,1,8,11,0.407,2,0,5,0,0.345,0,0,1-Jan
Corbin Mcalpine,0,4-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Luke Linnehan,0,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Max Lucas,0,1-Apr,2,1,0,0,0,0,0,0,0,3,0,1,0,0.6,0,0,0-0
Jack Potash,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ian Tolis,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
