Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Ben Mckenzie,0.268,26-25,97,20,26,5,3,1,12,40,0.412,13,2,22,0,0.36,2,0,5-May
Stephen Simoes,0.414,24-24,87,22,36,6,2,1,16,49,0.563,8,10,11,1,0.505,2,0,10-Sep
Cj Brito-trinidad,0.407,25-22,86,22,35,5,1,3,22,51,0.593,13,2,15,0,0.495,0,0,4-Mar
Bobby Pearl,0.307,22-21,75,13,23,5,0,0,12,28,0.373,8,0,19,0,0.369,1,0,3-Jan
Luke Chessie,0.218,24-24,78,16,17,4,0,2,13,27,0.346,8,6,15,0,0.333,1,1,1-Jan
Gabe Peckler,0.247,21-19,73,12,18,3,0,3,17,30,0.411,2,4,13,0,0.304,0,0,3-Feb
Gavin Cann,0.311,22-19,74,12,23,6,0,1,16,32,0.432,5,2,13,0,0.37,0,0,7-Jun
Robbie Sarmanian,0.321,19-17,56,11,18,5,0,1,11,26,0.464,10,0,13,1,0.418,1,0,1-Jan
Kevin Murray,0.247,25-24,85,14,21,4,1,2,8,33,0.388,10,2,16,0,0.34,0,1,1-Jan
Jack Mullen,0,7-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jack Olcott,0.417,14-2,12,3,5,0,0,0,4,5,0.417,1,1,0,0,0.5,0,0,3-Jan
Baker Olin,0,3-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jason Bogdanos,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Andrew Cohen,0,4-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Aidan Schraeder,0,2-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Michael Weber,0,1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jacob Warren,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ryan Novitski,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Nick Merrill,0.135,16-12,37,8,5,0,0,2,4,11,0.297,5,1,17,1,0.256,0,1,0-0
Christian O'brien,0.3,9-Dec,30,9,9,5,0,0,3,14,0.467,4,1,10,1,0.4,0,0,0-0
Chris Dirks,0.167,2-Jun,12,0,2,1,0,0,1,3,0.25,0,0,6,0,0.154,1,0,0-0
Hank Marriott,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Richie Mcnamara,0.244,18-11,41,4,10,4,0,0,8,14,0.341,2,1,7,1,0.277,3,0,2-Jan
Aidan Carey,0.154,3-Sep,13,0,2,1,0,0,1,3,0.231,2,1,8,0,0.313,0,0,1-Jan
Mike Moynihan,0.286,1-Jul,7,2,2,0,0,0,0,2,0.286,4,0,3,0,0.545,0,0,0-0
Connor Cassady,0,1-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Grant Collins,0.25,14-1,8,0,2,1,0,0,1,3,0.375,0,0,1,0,0.25,0,0,0-0
Zac Borden,0,Mar-00,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
