Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,
Marcus Forrester,0.352,24-24,88,35,31,3,0,2,17,40,0.455,12,8,20,4,0.468,1,2,12-Oct,
Brady O'brien,0.422,24-24,90,27,38,12,1,2,31,58,0.644,17,3,13,1,0.523,1,0,8-Aug,
Patrick Mcconnell,0.291,16-16,55,12,16,3,0,0,13,19,0.345,3,2,14,0,0.344,1,0,5-Mar,
Cabot Maher,0.341,23-23,82,22,28,6,0,2,21,40,0.488,11,9,18,1,0.466,1,0,4-Apr,
Cole Palmeri,0.321,23-22,78,16,25,3,0,5,28,43,0.551,10,2,7,3,0.398,3,0,5-May,
Drew Miller,0.295,20-19,61,19,18,4,1,1,8,27,0.443,5,5,11,0,0.378,3,0,5-May,
Clint Flippo,0.373,17-17,59,18,22,6,0,0,16,28,0.475,7,1,10,2,0.429,3,1,11-Nov,
Charlie Furlong,0.366,21-19,71,15,26,5,1,3,26,42,0.592,5,1,14,1,0.405,2,0,5-Feb,
Genki Leclair,0.353,24-23,68,17,24,6,3,0,19,36,0.529,4,8,15,1,0.444,1,0,4-Mar,
Matthew Panker,0.438,20-1,16,6,7,0,0,0,0,7,0.438,1,2,2,1,0.526,0,0,4-Apr,
Julian Erro,0,4-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Jack Pletter,0,Oct-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Noah Reichman,0.167,14-2,12,2,2,0,0,0,1,2,0.167,3,4,7,0,0.474,0,0,0-0,
Ben Croteau,0,Apr-00,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0-0,
Mark Sunoo,0,1-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Charlie Jodka,0,4-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Michael Ciaccio,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Nicholas Thompson,0,3-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Zack Lurie,0,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Ethan Hillenberg,0.3,17-11,40,8,12,1,0,0,6,13,0.325,10,1,11,0,0.442,1,0,5-Mar,
Howell Eglin,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Jackson Roloff,0.333,Apr-00,3,0,1,1,0,0,2,2,0.667,0,0,2,0,0.333,0,0,0-0,
Matthew Scibilio,0,Sep-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
John Doyle,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Moises Celaya,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Cole Tully,0,Apr-00,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0,
Ryan Grecco,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Caleb Jung,0.281,14-9,32,9,9,3,0,0,2,12,0.375,3,3,9,0,0.395,0,0,3-Mar,
Elijah Cohen,0,3-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Dylan Nastri,0.167,3-Dec,18,2,3,0,0,0,2,3,0.167,1,2,8,0,0.286,0,0,0-1,
Pepe Villamil,0.167,Aug-00,6,0,1,0,0,0,0,1,0.167,0,1,2,0,0.286,0,0,0-0,
Jack Dorsey,0.214,3-Oct,14,3,3,0,0,0,1,3,0.214,3,0,4,0,0.353,0,0,0-0,
Jack Bohrer,0,5-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
Henry Suarez,0.2,Nov-00,5,4,1,0,0,0,1,1,0.2,1,0,3,0,0.286,1,0,0-0,
Adam Hoechstetter,0,2-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0,
