Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
T. Attal,0.194,8-Aug,31,5,6,1,0,1,2,10,0.323,1,1,8,1,0.242,0,0,2-Feb
C. Beal,0.375,8-Aug,32,6,12,2,0,0,5,14,0.438,0,0,2,0,0.375,0,0,2-Jan
A. Ross,0.217,6-Jul,23,2,5,2,0,0,3,7,0.304,0,0,8,0,0.217,0,0,1-Jan
B. Gotti,0.25,4-Aug,16,1,4,0,0,1,5,7,0.438,1,0,2,0,0.278,1,0,0-0
H. Jamieson,0.182,7-Jul,22,1,4,0,0,0,1,4,0.182,1,0,11,0,0.217,0,0,0-0
D. Fallon,0.222,5-Jun,18,0,4,2,0,0,2,6,0.333,0,0,6,0,0.222,0,0,0-0
Z. Avila,0.294,6-Jun,17,2,5,0,0,0,0,5,0.294,0,0,0,0,0.294,0,0,0-0
C. Coyne,0.333,3-Jun,12,2,4,2,0,1,1,9,0.75,3,0,3,0,0.467,0,0,0-1
J. Nowak,0,5-Jun,13,1,0,0,0,0,0,0,0,1,0,8,2,0.071,0,0,0-0
R. Curbelo,0,May-00,6,0,0,0,0,0,0,0,0,1,0,2,0,0.143,0,0,0-0
K. Lucey,0.235,6-Jun,17,3,4,2,0,1,2,9,0.529,3,0,4,0,0.35,0,0,1-Jan
P. Schuldt,0,4-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
G. Iuliano,0,1-Apr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
I. Tolis,0,2-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
C. McAlpine,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
N. Jankowski,0.286,3-Apr,7,0,2,0,0,0,1,2,0.286,0,0,2,0,0.286,0,0,0-0
N. Timmer,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
B. Karess,0,1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
J. Brennan,0.2,2-Apr,5,1,1,0,0,0,0,1,0.2,1,0,1,0,0.333,0,0,0-1
L. Linnehan,0,Apr-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
E. Hall,0.5,Mar-00,2,0,1,0,0,0,0,1,0.5,0,0,1,0,0.5,0,0,0-0
J. Potash,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
A. Jareno,0.143,5-May,14,0,2,0,0,0,0,2,0.143,1,0,3,0,0.2,0,0,0-0
N. Ackerman,0,Feb-00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
N. Loughlin,0.143,4-May,14,0,2,0,0,0,0,2,0.143,0,0,6,0,0.143,0,0,0-0
C. Cimino,0,Mar-00,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
