Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
P. Bernstein,0.409,12-12,44,12,18,2,1,1,8,25,0.568,6,1,3,0,0.490,0,0,6-7
E. Harrast,0.263,12-12,38,4,10,0,3,1,6,19,0.500,6,0,13,0,0.356,1,3,1-2
M. Ghiorsi,0.000,3-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
D. Galvao,0.000,8-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Han,0.229,12-12,35,8,8,2,1,0,5,12,0.343,8,0,8,0,0.364,1,0,1-2
M. McGoey,0.207,12-12,29,7,6,1,1,0,3,9,0.310,10,1,11,0,0.425,0,0,1-1
S. Dux,0.308,12-9,26,6,8,0,1,0,9,10,0.385,7,1,5,0,0.471,0,1,0-0
B. Slinger,0.415,12-12,41,10,17,3,2,0,8,24,0.585,6,0,6,0,0.489,0,2,4-6
J. Sattinger,0.444,11-9,18,2,8,2,0,0,3,10,0.556,6,0,5,0,0.583,0,1,0-2
J. Johns,0.143,10-3,14,2,2,0,0,0,0,2,0.143,3,0,5,0,0.294,0,0,0-0
J. Cloughert,0.250,9-4,8,1,2,1,0,0,1,3,0.375,1,0,2,0,0.300,1,0,0-0
G. Schaefer-,0.286,12-11,21,4,6,1,0,0,3,7,0.333,6,1,2,0,0.464,0,0,1-1
J. Schlaefer,0.304,11-8,23,4,7,0,1,1,7,12,0.522,1,0,6,0,0.320,1,0,1-1
B. Lawson,0.000,3-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
M. Altman,0.167,4-1,6,0,1,0,0,0,1,1,0.167,0,0,3,0,0.167,0,0,0-0
M. Murray,0.500,2-0,2,0,1,0,0,0,0,1,0.500,0,0,1,0,0.500,0,0,0-0
E. Wallis,0.100,3-3,10,2,1,0,1,0,0,3,0.300,1,1,5,0,0.250,0,0,0-0
J. Griffin,0.083,9-3,12,1,1,1,0,0,0,2,0.167,1,0,5,0,0.154,0,0,0-0
E. Connolly,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
R. Krill,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
B. Kastner,0.000,3-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
T. Reilly,0.167,4-2,6,0,1,1,0,0,0,2,0.333,1,0,2,0,0.286,0,0,0-0
C. Robertson,1.000,1-0,1,1,1,0,0,0,1,1,1.000,0,0,0,0,1.000,0,0,0-0
C. O'Brien,0.000,9-3,13,1,0,0,0,0,0,0,0.000,0,0,5,0,0.000,0,0,0-0
