Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Jack Stolper,0.25,21-14,56,15,14,4,0,2,14,24,0.429,7,0,16,0,0.323,2,1,6-Jun
Kyle Mccausland,0.367,22-18,79,26,29,6,1,5,27,52,0.658,7,2,15,1,0.427,1,0,9-Jul
Alec Ritch,0.4,23-23,80,31,32,6,4,5,24,61,0.763,19,1,17,2,0.51,2,0,23-26
Mitchell Schroeder,0.451,22-21,71,18,32,10,0,1,19,45,0.634,7,6,8,2,0.523,2,0,2-Feb
Sammy Smith,0.321,16-14,53,14,17,2,4,5,15,42,0.792,4,2,12,0,0.39,0,0,8-May
John Collins,0.388,25-22,80,23,31,5,1,9,26,65,0.813,9,2,23,0,0.452,2,0,13-Nov
Zip Malley,0.328,20-19,58,15,19,5,0,0,10,24,0.414,10,4,7,1,0.452,1,0,5-May
Andrew Ashley,0.412,20-15,68,15,28,3,1,1,24,36,0.529,3,2,8,0,0.44,2,0,4-Mar
Nathan Samii,0.313,13-8,32,15,10,4,0,2,7,20,0.625,6,1,7,0,0.436,0,0,0-2
Chris Borter,0.356,20-16,59,15,21,4,1,2,12,33,0.559,5,3,9,0,0.426,1,0,6-Jun
Sawyer Duarte,0.406,21-17,64,14,26,5,0,0,16,31,0.484,3,0,9,0,0.433,0,0,9-Jul
Alex Price,0,7-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Henry Gustavson,0,1-Sep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
George Goldstein,0,14-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Evan Hunter,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ben Slaughter,0.222,Jul-00,9,0,2,1,0,0,0,3,0.333,0,0,3,0,0.222,0,0,0-0
Freddy Mosier,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
David Byrne,0.167,4-Sep,12,3,2,2,0,0,3,4,0.333,4,1,2,0,0.412,0,1,1-Jan
Lucas Flemming,0.236,18-14,55,14,13,2,2,4,17,31,0.564,6,0,14,2,0.311,0,1,5-Apr
Cole Crider,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Sam Grace,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Andrew Gatland,0,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Alex Rosario,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Kunal Handa,0,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Lucas Cai,0.091,1-May,11,2,1,0,0,1,1,4,0.364,1,0,5,0,0.167,0,0,0-1
Isaac Rosario,0.462,2-May,13,4,6,1,0,2,9,13,1,1,0,2,0,0.5,0,0,0-1
Jackson Atwood,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Charlie Kutz,0,1-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Gavin Gattuso,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Chet Johnston,1,Jan-00,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0-0
Beau Root,0.429,20-16,63,22,27,3,0,0,7,30,0.476,8,0,6,0,0.486,1,0,13-14
Baker Angstman,0.188,3-Oct,16,3,3,1,0,0,1,4,0.25,5,0,1,1,0.381,0,0,0-0
Zander Gilmartin,0,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Justin Lessing,0,3-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
