Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
J. Mathews,0.354,18-18,82,13,29,4,0,0,16,33,0.402,7,0,11,1,0.404,0,2,13-Oct
T. Fairchild,0.263,25-25,95,18,25,3,1,1,15,33,0.347,9,5,14,2,0.358,0,0,8-Jul
P. Dillon,0.327,24-24,98,18,32,6,0,0,10,38,0.388,7,6,14,0,0.402,1,0,4-Mar
S. Meth,0.376,25-25,101,28,38,8,1,3,24,57,0.564,9,2,21,0,0.43,2,0,3-Mar
C. Mann,0.387,25-25,93,27,36,7,0,4,20,55,0.591,15,4,23,0,0.487,1,0,6-May
J. Stefanowi,0.218,25-21,78,18,17,5,2,1,15,29,0.372,12,0,18,0,0.322,0,0,4-Mar
B. Teceno,0.281,22-16,57,17,16,4,0,4,14,32,0.561,12,7,16,0,0.455,1,0,7-Apr
M. Guanci,0.317,15-14,41,6,13,3,1,3,8,27,0.659,5,1,8,1,0.404,0,1,0-0
J. Miller,0.298,23-17,57,10,17,3,0,0,11,20,0.351,7,4,15,1,0.394,3,0,1-Jan
B. Chow,0.275,24-20,69,14,19,4,1,1,10,28,0.406,13,0,12,1,0.386,1,1,7-Jun
Aceto Michael,0,4-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Simeone William,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Y. Jarrett,0.176,5-Dec,17,3,3,1,0,0,2,4,0.235,0,0,5,0,0.158,2,0,2-Feb
Pascarella Luke,0,Apr-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
J. Mello,0,1-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
A. Tuozzolo,0.275,15-11,40,13,11,1,0,0,9,12,0.3,12,2,7,0,0.455,1,0,4-Mar
Mcgrath Cooper,0,2-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Colditz Tyler,0.333,13-1,6,3,2,1,0,0,6,3,0.5,2,0,0,0,0.444,1,0,0-0
J. Leonard,0.063,4-Sep,16,0,1,1,0,0,0,2,0.125,2,0,7,0,0.167,0,0,0-0
A. Chang,0,Aug-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1-Jan
Link Jonathan,0,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Rockett Tom,0,1-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Fahey Thomas,0,May-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Craven Sam,0,3-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
B. Reyes,0,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Fahey Jimmy,0,6-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Rice Shayne,0,1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Olsen Justin,0,Dec-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Crowley Cameron,0,4-Jul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Griffin Tyler,0,Jun-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
