Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Miles Reid,0.325,21-21,77,29,25,7,0,4,12,44,0.571,12,5,9,1,0.442,1,0,4-Apr
Jimmy Evans,0.304,16-16,56,13,17,5,1,2,15,30,0.536,8,2,9,0,0.403,1,1,0-0
Kyle Cortese,0.197,21-21,71,18,14,4,1,6,17,38,0.535,12,2,15,0,0.329,0,1,2-Feb
Ryan Daues,0.279,16-14,43,7,12,3,1,1,12,20,0.465,9,2,15,0,0.426,0,0,2-Jan
Peter Demaria,0.37,23-23,73,24,27,4,1,4,23,45,0.616,10,11,19,1,0.5,2,0,0-0
Brandon Bay,0.354,20-12,48,9,17,4,0,2,10,27,0.563,6,1,8,0,0.429,1,0,3-Mar
Jackson Duffy,0.318,20-20,66,14,21,4,1,1,15,30,0.455,11,5,14,2,0.451,0,0,3-Mar
Will Burgess,0.188,14-11,32,5,6,2,0,0,4,8,0.25,5,0,5,0,0.282,2,0,1-Jan
Connor Bowman,0.282,14-14,39,6,11,1,0,0,9,12,0.308,9,0,3,2,0.408,1,1,0-1
Nate Bozzella,0.255,18-17,51,13,13,5,0,2,15,24,0.471,6,7,7,0,0.4,1,0,0-1
Michael Volgende,0,8-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Silas Reed,0,Sep-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Connor Kinney,0,1-Jan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Brendan Mcfall,0,3-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Ryan Noone,0.31,6-Nov,29,6,9,2,0,1,2,14,0.483,2,1,3,0,0.364,1,0,0-0
Cameron Mayer,0,6-Aug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Liam Wilson,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Patrick Solomon,0.417,3-Mar,12,4,5,2,0,0,0,7,0.583,1,1,2,0,0.5,0,0,1-Jan
Clay Sowell,0.404,15-15,57,13,23,7,1,6,25,50,0.877,3,4,9,0,0.455,2,0,2-Feb
Manny Ray,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Brad Marchetti,0,2-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Justin Perrotta,0.133,4-Apr,15,3,2,0,0,0,1,2,0.133,0,0,5,0,0.133,0,1,1-Jan
Matt Donato,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Gavin Brown,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Spencer Langdon,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Matt Benda,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Connor Brala,0,Jan-00,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0-0
Johnny Briody,0,Feb-00,1,1,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0-0
Todd Stawiecki,0,Mar-00,2,0,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0,0-0
Jack Schwartz,0,Apr-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Connor Flavin,0.2,5-Jul,15,5,3,0,1,0,3,5,0.333,4,2,5,0,0.429,0,0,0-1
Ozzie Fleischer,0.333,5-Nov,21,7,7,0,0,0,3,7,0.333,3,1,1,1,0.44,0,0,0-0
Justin Wells,0,Mar-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Steven Landry,0,Apr-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Lucas Gustavson,0,3-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Derrick Johnson,0,Jan-00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
