Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
A. Geibel,0.316,12-12,38,6,12,1,0,0,7,13,0.342,4,3,6,0,0.404,2,0,0-0
J. Nally,0.326,12-12,43,8,14,3,1,1,6,22,0.512,5,2,10,0,0.420,0,1,3-5
E. Zanor,0.212,12-12,33,11,7,0,0,1,3,10,0.303,11,0,10,0,0.409,0,0,1-1
R. Finkel,0.313,12-12,32,4,10,3,0,0,7,13,0.406,8,4,9,0,0.489,1,0,0-0
J. Clifford,0.118,10-8,17,4,2,0,0,0,3,2,0.118,3,1,7,0,0.286,0,2,0-0
K. Sylvester,0.205,12-12,39,5,8,0,0,0,5,8,0.205,6,0,5,0,0.311,0,1,1-1
D. Judd,0.167,8-3,12,0,2,0,0,0,4,2,0.167,2,0,3,0,0.286,0,0,0-0
R. Molinari,0.316,11-10,38,9,12,2,0,0,5,14,0.368,3,2,3,0,0.395,0,0,6-6
C. Grider,0.158,9-6,19,2,3,0,0,0,4,3,0.158,4,0,6,1,0.304,0,0,1-2
S. Miki,0.150,7-5,20,1,3,1,0,0,4,4,0.200,1,0,7,0,0.190,0,0,1-1
M. Halas,0.185,10-9,27,5,5,1,0,0,0,6,0.222,4,3,8,0,0.353,0,1,3-3
P. Clare,0.000,5-4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
A. Bowler,0.000,4-3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
K. Yu,0.000,1-0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Torino,0.130,9-7,23,2,3,0,0,0,1,3,0.130,2,1,3,0,0.231,0,2,1-1
I. Appleby,0.000,3-0,1,0,0,0,0,0,0,0,0.000,0,1,0,0,0.500,0,0,0-0
S. Shield,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
E. Lee,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
A. Karabenic,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Reitan,0.000,5-5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Mescall,0.000,3-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Coll,0.000,3-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
G. Gilchrist,0.000,2-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
D. Jann,0.000,3-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Franco,0.000,1-0,1,0,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0-0
