Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Pappas Eric,0.328,17-17,64,11,21,2,0,0,7,23,0.359,5,3,10,0,0.397,1,1,6-May
Giove Mike,0.293,15-13,41,15,12,0,1,2,7,20,0.488,13,1,11,0,0.473,0,0,4-Mar
Driscoll David,0.25,20-19,68,14,17,3,0,3,13,29,0.426,10,2,18,1,0.363,0,0,4-Apr
Juan Henry,0.286,11-Dec,35,4,10,4,0,2,7,20,0.571,5,1,7,0,0.39,0,0,2-Feb
Shea Billy,0.222,8-Aug,27,4,6,1,0,0,1,7,0.259,1,1,6,1,0.276,0,0,0-0
Sandifer John,0.2,3-Dec,10,2,2,1,0,0,0,3,0.3,4,1,4,0,0.467,0,0,2-Feb
Oelschlager Kurt,0.118,19-14,51,6,6,0,0,1,3,9,0.176,6,0,15,0,0.207,1,1,3-Mar
Lynch Daniel,0.353,15-14,51,9,18,2,0,0,10,20,0.392,4,0,7,1,0.4,0,0,8-May
Brown Matthew,0.156,13-8,32,7,5,2,0,0,3,7,0.219,5,0,10,0,0.27,0,0,3-Mar
Spiezio Tyler,0.276,14-9,29,5,8,3,1,0,6,13,0.448,6,1,11,0,0.395,2,0,3-Mar
Young Ryan,0.25,20-20,68,11,17,7,2,1,11,31,0.456,3,2,18,2,0.293,2,1,4-Feb
Gage Eric,0,4-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Murray James,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Rohrer Sam,0,Feb-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Peponis Bo,0,Oct-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Stannard Brendan,0.36,13-13,50,4,18,1,1,1,12,24,0.48,3,0,14,1,0.389,1,0,1-Jan
Wong Jp,0,2-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Martin Jacob,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Jeffries Will,0,4-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Singleton Jon,0.286,2-Jun,7,0,2,0,0,0,0,2,0.286,2,0,3,0,0.444,0,2,0-1
Veeraswamy Kedar,0.167,1-Jul,6,1,1,0,0,0,0,1,0.167,0,0,3,0,0.167,0,0,0-0
Skiera Nick,0,2-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Hart Max,0,Jul-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
O'connor James,0.1,4-May,10,1,1,0,0,0,0,1,0.1,0,0,3,0,0.1,0,0,2-Feb
Whitehouse Cole,0.118,4-Sep,17,2,2,1,0,0,0,3,0.176,3,2,7,0,0.318,0,0,1-Jan
Hogan Sean,0,6-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
Vaughan Jh,0.125,4-Nov,8,2,1,0,0,0,1,1,0.125,2,0,1,0,0.273,1,0,0-1
Cohn Jakob,0.36,13-13,50,9,18,9,0,0,9,27,0.54,1,4,11,0,0.411,1,0,0-0
Orluk Nate,0.188,4-Oct,16,2,3,1,0,0,1,4,0.25,2,1,7,0,0.316,0,1,0-0
J. Singleton,0,1-Jan,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0-0
