Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
Sammy Smith,0.292,8-8,24,7,7,2,3,1,4,18,0.750,6,1,12,0,0.452,0,0,1-1
Lucas Flemming,0.280,8-8,25,7,7,0,0,1,4,10,0.400,3,2,14,0,0.400,0,0,1-1
Andrew Ashley,0.333,8-8,27,3,9,0,0,1,8,12,0.444,0,0,5,1,0.310,2,0,4-5
Mitchell Schroeder,0.143,8-8,21,4,3,0,0,0,5,3,0.143,2,6,7,0,0.379,0,0,0-0
Lucas Cai,0.231,8-8,26,4,6,1,0,1,3,10,0.385,0,3,7,0,0.310,0,0,0-0
Baker Angstman,0.190,8-7,21,3,4,0,0,0,2,4,0.190,2,1,4,0,0.292,0,0,1-1
Evan Hunter,0.217,8-7,23,5,5,0,0,1,3,8,0.348,0,1,10,1,0.250,0,0,1-1
Joseph Duran,0.133,6-5,15,0,2,0,0,0,1,2,0.133,0,0,9,0,0.133,0,0,0-0
Tyler Leinan,0.125,7-6,16,0,2,0,0,0,0,2,0.125,0,0,6,0,0.125,0,1,0-0
Henry Gustavson,0.000,4-4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
Andrew Gatland,0.000,4-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
Gavin Gattuso,0.000,5-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
Ethan Gavin,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Kutz,0.000,3-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
Jack Torpey,0.176,7-7,17,3,3,1,0,0,3,4,0.235,3,1,9,0,0.333,0,0,0-0
C. Kutz,0.000,1-0,2,1,0,0,0,0,0,0,0.000,0,0,1,0,0.000,0,0,0-0
