Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
E. Pappas,0.283,13-13,46,14,13,2,0,0,4,15,0.326,11,4,6,0,0.452,1,0,5-5
P. Barnett,0.349,13-13,43,12,15,1,0,0,10,16,0.372,6,1,4,0,0.423,2,0,3-4
J. Cohn,0.435,13-13,46,19,20,7,1,1,16,32,0.696,6,3,8,1,0.518,1,0,2-2
E. Mini,0.458,13-13,48,15,22,5,1,4,20,41,0.854,6,1,9,0,0.527,0,0,1-2
N. Orluk,0.250,11-11,36,11,9,2,3,0,10,17,0.472,6,2,9,0,0.386,0,1,3-4
N. Skiera,0.000,9-7,9,1,0,0,0,0,1,0,0.000,2,0,4,0,0.182,0,0,0-0
T. Spiezio,0.200,9-7,20,2,4,0,0,1,4,7,0.350,3,0,14,0,0.304,0,0,0-0
M. Giove,0.222,7-4,18,1,4,0,1,0,2,6,0.333,0,0,7,0,0.222,0,0,0-0
J. Singleton,0.304,7-6,23,3,7,0,0,0,5,7,0.304,1,1,6,0,0.360,0,0,0-0
C. Whitehous,0.333,11-10,33,7,11,3,0,0,5,14,0.424,4,1,6,0,0.421,0,1,0-0
K. Veeraswam,0.143,5-2,7,1,1,0,0,0,0,1,0.143,1,0,4,0,0.250,0,0,0-0
J. Irzyk,0.225,13-11,40,8,9,1,1,0,8,12,0.300,5,1,5,0,0.326,0,0,0-0
S. Hogan,0.000,5-5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
B. Woolley,0.000,8-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Wong,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
N. Wilson,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
E. Gage,0.000,4-4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
K. Oelschlag,0.286,11-11,35,13,10,4,0,0,6,14,0.400,12,0,12,0,0.468,0,0,1-1
G. Carroll,0.000,4-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
